name,address,score,comment_number,price,location
重庆锦鸿客栈,铜梁区安居镇兴隆街164号1-1（铜梁区，安居古城接待中心对面） ,3.7,32,97,铜梁区
重庆青居别苑,铜梁区安居古城西街1号（铜梁区，近城隍庙） ,4.6,230,257,铜梁区
重庆青风客栈,九龙坡区石新路178号沛鑫汽配城综合楼4楼，近四季香山小区大门、东风起亚。  ,4.3,96,74,万州区
重庆三峡行客栈,万州区沙龙路二段230号，近科兴苑、宏远批发市场。  ,4.8,34,39,万州区
途涂客栈(武隆仙女山店),武隆仙女山镇翠云路62号，近武隆县游客接待中心。  ,4.7,285,266,武隆区
武隆丛林精品客栈,武隆仙女山镇黄鹏河大峡谷，近038乡道。  ,4.3,57,587,武隆区
武隆多来福客栈,武隆巷口镇芙蓉中路86号2幢3楼，近白杨路。  ,4.7,327,68,武隆区
武隆观景客栈,武隆仙女山镇游客中心背后，近天秀仙居。  ,4.4,378,119,武隆区
武隆郡临仙山农家乐,武隆仙女山新区翠云路8号，距离游客接待中心旁500米。  ,4.1,98,53,武隆区
武隆强兴客栈,武隆巷口镇芙蓉中路71号2幢12楼汽车站对面，武隆汽车站对面。  ,4.5,107,80,武隆区
武隆仙乐客栈,武隆仙女山镇逸云路39号，近市民公园。  ,3.1,62,62,武隆区
武隆仙女山陌陌客栈,武隆仙女山镇银杏大道35号附1号，近203省道。  ,4.7,284,188,武隆区
武隆闲暇农家乐,武隆仙女镇银杏大道，近游客接待中心。  ,3.9,97,100,武隆区
武隆再回首农家乐,武隆天生三桥景区。  ,4.6,63,107,武隆区
仙女山菩镜丘客栈,武隆仙女镇夜宴仙女山7-3-1，近翠云路。  ,4.9,33,559,武隆区
闲暇空间连锁客栈(武隆分店),武隆仙女山镇翠云路68号，近七星环路。  ,4.8,1314,256,武隆区
重庆武隆仙女山之间堂客栈,武隆仙女山镇步云路6号，近大槽。  ,4.7,88,930,武隆区
重庆市秀山茶峒摄影民宿,秀山洪安镇老街3号，近万年台对面。  ,4.8,137,138,秀山土家族苗族自治县
酉阳东篱苑客栈,酉阳桃花源镇酉州古城第29栋（酉阳，近桃花源景区） ,4.3,86,152,酉阳土家族苗族自治县
酉阳龚滩古镇巴适客栈,酉阳龚滩镇新华社区（酉阳） ,4.1,36,96,酉阳土家族苗族自治县
酉阳龚滩古镇老院子客栈,酉阳龚滩古镇内知珍里街（酉阳） ,4.5,109,98,酉阳土家族苗族自治县
酉阳龚滩古镇唐街客栈,酉阳龚滩古镇内（酉阳） ,4.3,245,100,酉阳土家族苗族自治县
酉阳龚滩秀景精品客栈,酉阳龚滩古镇景区内（酉阳，近古镇中心小广场） ,4.8,69,90,酉阳土家族苗族自治县
酉阳上林风情客栈,酉阳酉州古城32号（酉阳，近桃花源景区） ,4.3,147,146,酉阳土家族苗族自治县
酉阳水泊人家客栈,酉阳龚滩古镇南门停车场入口第一家店作坊路5号（酉阳，近龚滩镇小学） ,4.4,158,128,酉阳土家族苗族自治县
酉阳酉州古城爱晚庭客栈,酉阳酉州古城31号（酉阳，近桃花源景区） ,4.3,294,134,酉阳土家族苗族自治县
重庆酉阳龚滩古镇小滩子客栈,酉阳龚滩古镇B区入口南门停车场旁（酉阳） ,3.5,79,90,酉阳土家族苗族自治县
重庆酉阳归园田居客栈,酉阳酉州古城北门1—B号（酉阳，近210省道） ,3.8,82,116,酉阳土家族苗族自治县
加州客栈(重庆红琦店),渝北区红石路241号，近江北大浪淘沙。  ,4.3,296,199,渝北区
重庆2008金桥龙兴古镇客栈,渝北区龙兴镇天龙路59号，近华夏宗祠。  ,3.9,77,107,渝北区
重庆巴渝客栈,渝北区两江新区金兴大道龙景路1号（园博园正门），近园博园游船售票厅，悦来会展中心。  ,4.6,151,419,渝北区
重庆倦鸟驿栈,渝北区北部新区黄山大道金科中华坊三号商务楼，近高科体育中心。  ,4.6,325,368,渝北区
重庆六号花园客栈,渝北区颐泰园D栋2单元1-2，近凯歌路与双湖路交叉口。  ,4.5,81,51,渝北区
重庆隆门驿客栈,渝北区双凤桥街道长空路144号，近桃园公园。  ,4.7,468,89,渝北区
重庆慢时光客栈,渝北区玫瑰城绣色锦衣星辰37栋，近南方翻译学院。  ,4.7,136,72,渝北区
重庆青风客栈悦来会展中心店,渝北区滨江路84号附1-4号，近悦来会展中心。  ,4.2,213,201,渝北区
重庆渝州情客栈,渝北区红锦大道21号加来金大厦9-11层，近近轨道3号线红旗河沟站、金龙路。  ,4.3,92,114,渝北区
重庆·重玖玖客栈,渝中区八一路好吃街218号19楼，近轨道交通1号线、2号线。  ,4.3,353,238,渝中区
重庆临江客栈,渝中区西来寺36号（一号桥与魁星楼之间），近临江门1号桥华仁医院。  ,4.2,602,118,渝中区
重庆龙猫客栈,渝中区解放碑五一路9号帝都广场B栋35-14（王府井百货对面），近八一路右侧。  ,4.6,308,30,渝中区
重庆南旅艺术客栈,渝中区重庆渝中区长滨路19号海客瀛洲B栋4-8（朝天门码头）。  ,4.8,61,175,渝中区
重庆能仁客栈,渝中区重庆渝中区解放碑好吃街对面布丁酒店旁1楼。  ,4.0,39,143,渝中区
重庆弱水咖啡客栈,渝中区大溪沟河街66号，近嘉陵江滨江路。  ,4.7,82,50,渝中区
重庆缘宿江景客栈,渝中区海客瀛州C栋1007接待处，近长江滨江路。  ,4.7,49,288,渝中区
重庆源财客栈,渝中区较场口四贤巷30号青鸟大厦3楼，近民生路。  ,3.3,50,136,渝中区
云阳龙缸湘圆农家乐,云阳龙缸景区（云阳，近民俗天街） ,4.2,43,90,云阳县
重庆建宏客栈,长寿区长寿古镇万寿南路A区37栋，近米寿东街。  ,4.0,113,85,长寿区
重庆御临客栈,长寿区长寿古镇C区2-1-2，近竹园。  ,4.0,45,161,长寿区
重庆长寿古镇秦彩格客栈,长寿区长寿古镇桃园西四路1号105幢1-1，近万寿广场。  ,4.4,110,179,长寿区
